id,type,name,effect,gold,ev,obs,tags,proficience,icon
ID-73-20260102211820,arma,Maça leve,,,,,,,dagger-black
ID-74-20260102211820,arma,Maça estrela,,,,,,,dagger-black
ID-75-20260102211820,arma,Machete,,,,,,,dagger-black
ID-76-20260102211820,arma,Main Gauche,,,,,,,dagger-black
ID-77-20260102211820,arma,Malho,,,,,,,dagger-black
ID-78-20260102211820,arma,Manopla farpada,,,,,,,dagger-black
ID-79-20260102211820,arma,Martelo de Lucerna,,,,,,,dagger-black
ID-80-20260102211820,arma,Martelo de guerra,,,,,,,dagger-black
ID-81-20260102211820,arma,Martelo leve,,,,,,,dagger-black
ID-82-20260102211820,arma,Pegador,,,,,,,dagger-black
ID-83-20260102211820,arma,Picareta de Guerra,,,,,,,dagger-black
ID-84-20260102211820,arma,Picareta Leve,,,,,,,dagger-black
ID-85-20260102211820,arma,Picareta Pesada,,,,,,,dagger-black
ID-86-20260102211820,arma,Pique,,,,,,,dagger-black
ID-87-20260102211820,arma,Poniard,,,,,,,dagger-black
ID-88-20260102211820,arma,Porrete,,,,,,,dagger-black
ID-89-20260102211820,arma,Punhal,,,,,,,dagger-black
ID-90-20260102211820,arma,Punho,,,,,,,dagger-black
ID-91-20260102211820,arma,Ranseur,,,,,,,dagger-black
ID-92-20260102211820,arma,Sabre,,,,,,,dagger-black
ID-93-20260102211820,arma,Sodegarami,,,,,,,dagger-black
ID-94-20260102211820,armadura,Armadura Acolchoada,CA +1,5,2,,,trapaceiro,dagger-black
ID-95-20260102211820,armadura,Armadura Completa,CA +8,1000,4,,,,dagger-black
ID-96-20260102211820,armadura,Armadura de Couro,CA +2,10,2,,,"bárbaro,cavaleiro,clerigo,combatente,paladino,trapaceiro",dagger-black
ID-97-20260102211820,armadura,Armadura de Placas,CA +7,600,4,,,,dagger-black
ID-98-20260102211820,armadura,Brigandina,CA +4,85,4,,,"bardo,bárbaro,cavaleiro,clerigo,combatente,druid,explorador,paladino",dagger-black
ID-99-20260102211820,armadura,Camisa de cota de Malha,CA +4,100,3,,,"bárbaro,cavaleiro,clerigo,combatente,explorador,paladino",dagger-black
ID-100-20260102211820,armadura,Casaco de Couro,CA +1,7,2,,,"bárbaro,cavaleiro,clerigo,combatente,paladino,trapaceiro",dagger-black
ID-101-20260102211820,armadura,Conjunto completo (4),CA +7,650,4,,,,dagger-black
ID-102-20260102211820,armadura,Conjunto Grego (1),CA +5,120,4,,,"bardo,bárbaro,cavaleiro,clerigo,combatente,druid,paladino",dagger-black
ID-103-20260102211820,armadura,Conjunto Grego (2),CA +6,230,4,,,"assassino,bardo,bárbaro,cavaleiro,clerigo,combatente,druid,explorador,paladino",dagger-black
ID-104-20260102211820,armadura,Conjunto Romano (3),CA +6,240,4,,,"assassino,bardo,bárbaro,cavaleiro,clerigo,combatente,druid,explorador,paladino",dagger-black
ID-105-20260102211820,armadura,Cota de Anéis,CA +3,30,3,,,"bárbaro,cavaleiro,clerigo,combatente,paladino",dagger-black
ID-106-20260102211820,armadura,Cota de bandas,CA +6,250,4,,,"bardo,bárbaro,cavaleiro,clerigo,combatente,explorador,paladino",dagger-black
ID-107-20260102211820,armadura,Cota de Escamas,CA +4,50,4,,,"bardo,bárbaro,cavaleiro,clerigo,combatente,explorador,paladino",dagger-black
ID-108-20260102211820,armadura,Cota de Malha Completa,CA +6,200,4,,,,dagger-black
ID-109-20260102211820,armadura,Cota de Placas,CA +5,100,4,,,"assassino,bardo,bárbaro,cavaleiro,clerigo,combatente,druid,explorador,paladino",dagger-black
ID-110-20260102211820,armadura,Cota de talas,CA +6,200,4,,,"assassino,bardo,bárbaro,cavaleiro,clerigo,combatente,druid,explorador,paladino",dagger-black
ID-111-20260102211820,armadura,Couro Batido,CA +3,25,3,,,"bárbaro,cavaleiro,clerigo,combatente,paladino,trapaceiro",dagger-black
ID-112-20260102211820,armadura,Couro Cozido,CA +4,45,4,,,"bárbaro,cavaleiro,clerigo,combatente,paladino,trapaceiro",dagger-black
ID-113-20260102211820,armadura,Hussarda Polonesa,CA +8,1750,3,,,,dagger-black
ID-114-20260102211820,armadura,Laminar de Couro,CA +3,55,2,,,"bárbaro,cavaleiro,clerigo,combatente,paladino,trapaceiro",dagger-black
ID-115-20260102211820,armadura,Loriga de Cota de Malha,CA +5,150,4,,,"bardo,bárbaro,cavaleiro,clerigo,combatente,explorador,paladino",dagger-black
ID-116-20260102211820,armadura,Peitoral de Aço,CA +5,300,3,,,"bárbaro,cavaleiro,clerigo,combatente,explorador,paladino",dagger-black
ID-117-20260102211820,armadura,Peitoral de Bronze,CA +4,95,3,,,"bardo,bárbaro,cavaleiro,clerigo,combatente,explorador,paladino",dagger-black
ID-118-20260102211820,armadura,Peles,CA +3,20,4,,,"bárbaro,cavaleiro,clerigo,combatente,paladino",dagger-black
ID-119-20260102211820,barco,,,,,,,,dagger-black
ID-120-20260102211820,distancia,Arco Curto,dano 1d6 /18m,30,3,,,"assassino,bárbaro,combatente,explorador,paladino",dagger-black
ID-121-20260102211820,distancia,Arco Longo,dano 1d6 /30m,75,4,,,"assassino,bárbaro,combatente,explorador,paladino,trapaceiro",dagger-black
ID-122-20260102211820,distancia,Arco Longo Composto,dano 1d8 /33m,100,4,,,"assassino,bárbaro,combatente,druid,explorador,paladino,trapaceiro",dagger-black
ID-123-20260102211820,distancia,Azagaia,dano 1d4 /9m,1,3,,,"assassino,bárbaro,combatente,explorador,paladino",dagger-black
ID-124-20260102211820,distancia,Besta de Mão,dano 1d4 /9m,100,2,,,"assassino,bárbaro,combatente,explorador,paladino,trapaceiro",dagger-black
ID-125-20260102211820,distancia,Besta Leve,dano 1d6 /24m,35,4,,,"assassino,bárbaro,combatente,explorador,paladino,trapaceiro",dagger-black
ID-126-20260102211820,distancia,Besta Pesada,dano 1d10 /36m,50,5,,,"assassino,bárbaro,combatente,explorador,paladino,trapaceiro",dagger-black
ID-127-20260102211820,distancia,Bolas,dano 1d4 /6m,5,2,,,"assassino,bárbaro,combatente,druid,explorador,paladino,trapaceiro",dagger-black
ID-128-20260102211820,distancia,Dardo,dano 1d3 /6m,0.5,1,,,"assassino,bárbaro,combatente,explorador,paladino,trapaceiro",dagger-black
ID-129-20260102211820,distancia,Funda,dano 1d4 /15m,,1,,,"assassino,bárbaro,combatente,druid,explorador,ilusionista,mago,paladino,trapaceiro",dagger-black
ID-130-20260102211820,distancia,Arpão,dano 1d6 /6m,1,5,,,"assassino,bárbaro,combatente,druid,explorador,paladino",dagger-black
ID-131-20260102211820,distancia,Zarabatana,dano 1 /3m,1,3,,,"assassino,bárbaro,combatente,druid,explorador,paladino",dagger-black
ID-132-20260102211820,distancia,Pedra,dano 1d2 /9m,0,,,,"assassino,bárbaro,combatente,explorador,paladino",dagger-black
ID-133-20260102211820,distancia,Aclis,dano 1d4 /6m,1,2,,,,dagger-black
ID-134-20260102211820,distancia,Boleadeira,dano 1d4 /6m,5,2,,,,dagger-black
ID-135-20260102211820,elmo,Armete,CA +6,10,1,,,"bárbaro,cleric,fighter,knight,paladin",dagger-black
ID-136-20260102211820,elmo,Barbuta,CA+4,15,1,,,"bárbaro,cleric,fighter,knight,paladin",dagger-black
ID-137-20260102211820,elmo,Benin,CA+2,8,1,,,"bárbaro,cleric,fighter,knight,paladin",dagger-black
ID-138-20260102211820,elmo,Casquete,CA+2,10,1,,,"bárbaro,cleric,fighter,knight,paladin",dagger-black
ID-139-20260102211820,elmo,Chapéu de guerra,CA+2,7,1,,,"bárbaro,cleric,fighter,knight,paladin",dagger-black
ID-140-20260102211820,elmo,"Coifa, cota de malha",CA+4,15,1,,,"bárbaro,cleric,fighter,knight,paladin,ranger",dagger-black
ID-141-20260102211820,elmo,"Coifa, couro",CA+1,4,1,,,"assassin,bard,bárbaro,cleric,druid,fighter,knight,paladin,ranger,trapaceiro",dagger-black
ID-142-20260102211820,elmo,"Elmo, grande",CA+7,20,2,,,"bárbaro,cleric,fighter,knight,paladin",dagger-black
ID-143-20260102211820,elmo,"Elmo, normal",CA+5,10,1,,,"bárbaro,cleric,fighter,knight,paladin",dagger-black
ID-144-20260102211820,elmo,"Elmo, Normando",CA+3,8,1,,,"bárbaro,cleric,fighter,knight,paladin",dagger-black
ID-145-20260102211820,elmo,"Elmo, pote",CA+2,5,1,,,"bárbaro,cleric,fighter,knight,paladin",dagger-black
ID-146-20260102211820,equipamento,"Água benta, frasco",,,,,,,dagger-black
ID-147-20260102211820,equipamento,Algemas,,,,,,,dagger-black
ID-148-20260102211820,equipamento,"Aljava, dúzia",,,,,,,dagger-black
ID-149-20260102211820,equipamento,"Aljava, vinte",,,,,,,dagger-black
ID-150-20260102211820,equipamento,Apito,,,,,,,dagger-black
ID-151-20260102211820,equipamento,Armadilha grande de metal,,,,,,,dagger-black
ID-152-20260102211820,equipamento,Armadilha média de metal,,,,,,,dagger-black
ID-153-20260102211820,equipamento,Armadilha pequena de metal,,,,,,,dagger-black
ID-154-20260102211820,equipamento,Balde,,,,,,,dagger-black
ID-155-20260102211820,equipamento,Bandagens (2 ferimentos),,,,,,,dagger-black
ID-156-20260102211820,equipamento,Bandolim,,,,,,,dagger-black
ID-157-20260102211820,escudo,Broquel,CA +1 (1),2,2,,,todos,dagger-black
ID-158-20260102211820,escudo,"Grande, Aço",CA +1 (3),20,4,,,todos,dagger-black
ID-159-20260102211820,escudo,"Grande, Madeira",CA +1 (3),7,4,,,todos,dagger-black
ID-160-20260102211820,escudo,"Médio, Aço",CA +1 (2),15,3,,,todos,dagger-black
ID-161-20260102211820,escudo,"Médio, Madeira",CA +1 (2),5,3,,,todos,dagger-black
ID-162-20260102211820,escudo,Pavis,CA +6 (4),55,12,,,todos,dagger-black
ID-163-20260102211820,escudo,"Pequeno, Aço",CA +1 (1),9,2,,,todos,dagger-black
ID-164-20260102211820,escudo,"Pequeno, Madeira",CA +1 (1),3,2,,,todos,dagger-black
ID-165-20260102211820,estabulo,"Curral, 1 Carroça",,,,,,,dagger-black
ID-166-20260102211820,estabulo,"Canil, 1 animal",,,,,,,dagger-black
ID-167-20260102211820,estabulo,"Estábulo, 1 Cavalo",,,,,,,dagger-black
ID-168-20260102211820,estabulo,"Estábulo, Camelo",,,,,,,dagger-black
ID-169-20260102211820,estabulo,"Estábulo, Javali",,,,,,,dagger-black
ID-170-20260102211820,estabulo,"Estábulo, Exótico (urso, etc.)",,,,,,,dagger-black
ID-171-20260102211820,municao,Flechas (20),,,,,,"assassino,bárbaro,combatente,explorador,paladino",dagger-black
ID-172-20260102211820,municao,Flechas de Prata,,,,,,"assassino,bárbaro,combatente,druid,explorador,paladino",dagger-black
ID-173-20260102211820,municao,Virotes (12),,,,,,"assassino,bárbaro,combatente,explorador,paladino",dagger-black
ID-174-20260102211820,municao,Flechas (12),,,,,,,dagger-black
ID-175-20260102211820,provisoes,"Cerveja Ale, Caneca",,,,,,,dagger-black
ID-176-20260102211820,provisoes,"Cerveja, Caneca",,,,,,,dagger-black
ID-177-20260102211820,provisoes,"Queijo, peça",,,,,,,dagger-black
ID-178-20260102211820,provisoes,"grãos, saco",,,,,,,dagger-black
ID-179-20260102211820,provisoes,"Licor, Barril",,,,,,,dagger-black
ID-180-20260102211820,provisoes,"Licor, Dose",,,,,,,dagger-black
ID-181-20260102211820,provisoes,"Hidromel, Caneca",,,,,,,dagger-black
ID-182-20260102211820,provisoes,Rações (1 dia),,,,,,,dagger-black
ID-183-20260102211820,provisoes,Rações (1 semana),,,,,,,dagger-black
ID-184-20260102211820,provisoes,"Refeição de taberna, comum",,,,,,,dagger-black
ID-185-20260102211820,provisoes,"Refeição de taberna, boa",,,,,,,dagger-black
ID-186-20260102211820,provisoes,"Folhas de chá, meio quilo",,,,,,,dagger-black
ID-187-20260102211820,provisoes,Tabaco (meio quilo),,,,,,,dagger-black
ID-188-20260102211820,provisoes,Vinho comum (garrafa),,,,,,,dagger-black
ID-189-20260102211820,provisoes,Vinho fino (garrafa),,,,,,,dagger-black
ID-190-20260102211820,provisoes,"Refeição leve (peixe, pães, frutas, queijo)",,,,,,,dagger-black
ID-191-20260102211820,provisoes,"Refeição pesada (carnes, vegetais, pães, manteiga)",,,,,,,dagger-black
ID-192-20260102211820,provisoes,"Extravagante (carnes, pudins, frutas frias)",,,,,,,dagger-black
ID-193-20260102211820,provisoes,Cerveja clara,,,,,,,dagger-black
ID-194-20260102211820,provisoes,Cerveja escura,,,,,,,dagger-black
ID-195-20260102211820,provisoes,Cerveja lager,,,,,,,dagger-black
ID-196-20260102211820,provisoes,Vinho vermelho/branco (garrafa),,,,,,,dagger-black
ID-197-20260102211820,provisoes,Vinho Kathys Branco,,,,,,,dagger-black
ID-198-20260102211820,roupas,Anel de sinete,,,,,,,dagger-black
ID-199-20260102211820,roupas,Baldrico,,,,,,,dagger-black
ID-200-20260102211820,roupas,Batina,,,,,,,dagger-black
ID-201-20260102211820,roupas,Bijuterias,,,,,,,dagger-black
ID-202-20260102211820,roupas,Boné/chapéu,,,,,,,dagger-black
ID-203-20260102211820,roupas,Botas macias,,,,,,,dagger-black
ID-204-20260102211820,roupas,Botas pesadas,,,,,,,dagger-black
ID-205-20260102211820,roupas,Cachecol,,,,,,,dagger-black
ID-206-20260102211820,roupas,Calças,,,,,,,dagger-black
ID-207-20260102211820,roupas,Calças justas,,,,,,,dagger-black
ID-208-20260102211820,roupas,Capa,,,,,,,dagger-black
ID-209-20260102211820,roupas,Capuz,,,,,,,dagger-black
ID-210-20260102211820,roupas,Cinto,,,,,,,dagger-black
ID-211-20260102211820,roupas,Cinturão,,,,,,,dagger-black
ID-212-20260102211820,roupas,Colete,,,,,,,dagger-black
ID-213-20260102211820,roupas,Gibão,,,,,,,dagger-black
ID-214-20260102211820,roupas,Jaleco,,,,,,,dagger-black
ID-215-20260102211820,roupas,Kaftan,,,,,,,dagger-black
ID-216-20260102211820,roupas,Luvas de couro,,,,,,,dagger-black
ID-217-20260102211820,roupas,Luvas de tecido,,,,,,,dagger-black
ID-218-20260102211820,roupas,Manto,,,,,,,dagger-black
ID-219-20260102211820,roupas,Manto curto,,,,,,,dagger-black
ID-220-20260102211820,roupas,"Roupas de inverno, conjunto",,,,,,,dagger-black
ID-221-20260102211820,roupas,Saia,,,,,,,dagger-black
ID-222-20260102211820,roupas,Sapatos comuns,,,,,,,dagger-black
ID-223-20260102211820,roupas,Túnica,,,,,,,dagger-black
ID-224-20260102211820,roupas,Túnica longa,,,,,,,dagger-black
ID-225-20260102211820,roupas,Vestido,,,,,,,dagger-black
ID-226-20260102211820,roupas,Vestido de Serviço,,,,,,,dagger-black
ID-227-20260102211820,transporte,Alforjes,,,,,,,dagger-black
ID-228-20260102211820,transporte,Arreio,,,,,,,dagger-black
ID-229-20260102211820,transporte,Barco a remo,,,,,,,dagger-black
ID-230-20260102211820,transporte,Barco longo,,,,,,,dagger-black
ID-231-20260102211820,transporte,Biga,,,,,,,dagger-black
ID-232-20260102211820,transporte,Boi,,,,,,,dagger-black
ID-233-20260102211820,transporte,Bote,,,,,,,dagger-black
ID-234-20260102211820,transporte,Bote pequeno,,,,,,,dagger-black
ID-235-20260102211820,transporte,Burro,,,,,,,dagger-black
ID-236-20260102211820,transporte,Canoa,,,,,,,dagger-black
ID-237-20260102211820,transporte,Carroça,,,,,,,dagger-black
ID-238-20260102211820,transporte,Carroão,,,,,,,dagger-black
ID-239-20260102211820,transporte,Carruagem,,,,,,,dagger-black
ID-240-20260102211820,transporte,Cavalo de guerra leve,,,,,,,dagger-black
ID-241-20260102211820,transporte,Cavalo de guerra pesado,,,,,,,dagger-black
ID-242-20260102211820,transporte,Cavalo de passeio,,,,,,,dagger-black
ID-243-20260102211820,transporte,Cavalo de tração,,,,,,,dagger-black
ID-244-20260102211820,transporte,"Cota de montaria, couro",,,,,,,dagger-black
ID-245-20260102211820,transporte,"Cota de montaria, couro curtido",,,,,,,dagger-black
ID-246-20260102211820,transporte,"Cota de montaria, malha",,,,,,,dagger-black
ID-247-20260102211820,transporte,"Cota de montaria, peles",,,,,,,dagger-black
ID-248-20260102211820,transporte,"Cota de montaria, placas",,,,,,,dagger-black
ID-249-20260102211820,transporte,Freio e rédeas,,,,,,,dagger-black
ID-250-20260102211820,transporte,Jangada,,,,,,,dagger-black
ID-251-20260102211820,transporte,Manta de sela,,,,,,,dagger-black
ID-252-20260102211820,transporte,Morsa,,,,,,,dagger-black
ID-253-20260102211820,transporte,Mula,,,,,,,dagger-black
ID-254-20260102211820,transporte,Pônei,,,,,,,dagger-black
ID-255-20260102211820,transporte,Pônei de guerra,,,,,,,dagger-black
ID-256-20260102211820,transporte,Ração (por dia),,,,,,,dagger-black
ID-257-20260102211820,transporte,Sela,,,,,,,dagger-black
ID-258-20260102211820,transporte,Trenó,,,,,,,dagger-black
